2025-02-21 11:30:04, car, 7
2025-02-21 11:30:04, car, 8
2025-02-21 11:30:04, car, 9
2025-02-21 11:30:04, car, 10
2025-02-21 11:30:06, person, 11
2025-02-21 11:30:06, person, 12
2025-02-21 11:30:10, car, 13
2025-02-21 11:30:12, person, 14
2025-02-21 11:30:16, car, 18
2025-02-21 11:30:21, truck, 21


2025-02-21 12:27:42, person, 1
2025-02-21 12:27:42, person, 2
2025-02-21 12:27:42, car, 3
2025-02-21 12:27:42, boat, 4
2025-02-21 12:27:45, suitcase, 5
2025-02-21 12:27:52, car, 10
2025-02-21 12:27:56, car, 14
2025-02-21 12:29:11, person, 34
2025-02-21 12:29:13, person, 36


2025-02-21 12:33:58, person, 1
2025-02-21 12:33:58, truck, 2
2025-02-21 12:33:58, person, 3
2025-02-21 12:33:58, car, 4
2025-02-21 12:34:01, car, 5
2025-02-21 12:34:03, car, 6


2025-02-21 12:35:37, motorcycle, 34
2025-02-21 12:36:45, car, 2
2025-02-21 12:37:16, car, 3
2025-02-21 12:37:16, car, 4
2025-02-21 12:37:16, car, 5
2025-02-21 12:37:16, car, 6
2025-02-21 12:37:26, person, 10
2025-02-21 12:38:46, car, 1
2025-02-21 12:39:17, car, 6
2025-02-21 12:39:26, car, 11



2025-02-21 12:48:27, car, 1
2025-02-21 12:54:30, car, 16
2025-02-21 12:54:30, car, 17
2025-02-21 12:55:08, bus, 4
2025-02-21 12:59:47, car, 9
2025-02-21 12:59:47, car, 10
2025-02-21 12:59:48, car, 13
2025-02-21 12:59:48, car, 14
